Unit #,Type,Location,Zip / County,Description,Size,Face,Lat.,Long.,18+ Imp
SoNo Collection,Digital Bulletin,100 N Water Street,06854 / Fairfield,"Overlooking I-95, The SoNo Collection is an upscale shopping mall in the South Norwalk neighborhood of Norwalk, Connecticut. This digital spectacular sits on the exterior of the mall.",187 x 648,North,41.097,-73.416,352833
440A,Digital Bulletin,Rt 17 950' N/O Grant St,07446 / Bergen County,"High profile digital bulletin which reads to southbound traffic traveling on Route 17 towards Paramus, one of the largest shopping destinations in the country, Teterboro Airport as well as Route 3 and Manhattan via the Lincoln Tunnel  It captures traffic heading towards the Meadowlands Sports Complex and affluent suburban Bergen County communities. The heaviest traffic for this bulletin originates from Rockland County in New York State.",132 x 432,North,41.076,-74.145,87984
441C,Digital Bulletin,Rt 17 950' N/O Grant St,07446 / Bergen County,"This spectacular digital reads to northbound traffic traveling on Route 17 towards Rockland county in New York State, home of Woodbury Common Premium Outlets. Traffic orignating from affluent Bergen County communities such as Paramus, one of the largest shopping destinations in the country. The heaviest traffic originates from the Meadowlands Sports Complex and Manahattan via the Lincoln Tunnel.",132 x 432,South,41.076,-74.145,123766
5908,Digital Poster,NW s/o 365 Hamilton Ave @ 125' e/o Church St.,10601 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,East,41.034,-73.766,75169
5903,Digital Poster,Northeast Corner of the TransCenter Garage @ 11 Ferris Ave,10603 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,East,41.034,-73.774,22538
5902,Digital Poster,NW s/o 365 Hamilton Ave approximately 75' e/o Church St.,10601 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,West,41.034,-73.767,36185
5904,Digital Poster,Southeast Corner of the TransCenter Garage @ 11 Ferris Ave,10603 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,East,41.033,-73.774,22753
5909,Digital Poster,S/S of 100 Main St. @ 100' e/o S. Lexington Ave,10601 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,East,41.032,-73.77,12399
5901,Digital Poster,N/S of 100 Main St. @ 75' e/o  Dr. MLK Blvd.,10601 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,West,41.032,-73.769,82749
5907,Digital Poster,S/S of 100 Main St.(LGE) @ 225' e/o Dr. MLK Blvd.,10601 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,East,41.031,-73.769,25543
5900,Digital Poster,S/S of 100 Martine Ave @100' e/o S. Lexington Ave.,10601 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,West,41.031,-73.771,12987
470A,Digital Bulletin,"E/S I-287, 915' S/O Muller Rd @ MP 57.35",07436 / Bergen,"Southbound I-287 traffic traveling toward Parsippany-Troy Hills, Montville, Riverdale and southern points of
Bergen County",168 x 576,North,41.023,-74.265,156442
471C,Digital Bulletin,"E/S I-287, 915' S/O Muller Rd @ MP 57.35",07436 / Bergen,"Northbound I-287 traffic traveling from Parsippany-Troy Hills, Montville, Riverdale and southern points of Bergen
County",168 x 576,South,41.023,-74.265,156442
5905,Digital Poster,540 Mamaroneck Ave,10605 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,South,41.021,-73.758,33976
5906,Digital Poster,540 Mamaroneck Ave,10605 / Westchester,"This digital junior poster reads to White Plains, NY downtown traffic.",72 x 132,North,41.021,-73.758,37756
950,Bulletin,"US Rt. 1 & 9 (401 E. Edgar Rd.) W/L 900' N/O Woodlawn Ave, FN",07036 / Bergen,"Reads to traffic heading to NJ Turnpike, Newark Airport and Manhattan.",126 x 432,North,41.0,-74.239,223138
952,Bulletin,"294 Wagaraw Road (Rt. 504) @ RR 170’ E/O Lincoln Street,",07506 / Passaic,"This outstanding Passaic County overhead trestle is a commuter arterial leading to Route 208 in the upscale areas of Bergen County. This direct head on display has a outstanding 1,000 + approach of two lanes of traffic.",60 x 720,West,40.941,-74.154,0
953,Poster,"294 Wagaraw Road (Rt. 504) @ RR 170’ E/O Lincoln Street, E/F",07506 / Passaic,"This highly visable Passaic County overhead trestle is a commuter arterial leading to Route 80,
Route 20 and the Garden State Parkway. This outstanding head on display shows to two lanes of traffic
and has an approach of more than 1,000’.",60 x 720,East,40.941,-74.154,0
NJ-048BBR,Bulletin,"Rt 15 N of Berkshire Valley Rd, N/F",07885 / Morris County,"Rt 15 N of Berkshire Valley Rd, N/F",96 x 144,North,40.933,-74.591,171534
951,Bulletin,361 Mclean Blvd. (Rt. 20) C/L 1/4 mile N/O I-80 N/O 21st Avenue,07504 / Passaic,This incredible overhead trestle display carries US Route 20/Mclean Blvd commuter traffic to the busy Interstate Route 80 and the Garden State Parkway South and North and is only 7 miles to Paramus Park Mall.,60 x 924,North,40.904,-74.135,0
961,Bulletin,361 Mclean Blvd. (Rt. 20) C/L 1/4 mile N/O I-80 N/O 21st Avenue,07504 / Passaic,This incredible overhead trestle display carries US Route 20/Mclean Blvd commuter traffic Northbound and is a in your face display exiting Exit 60 on South-bound  Garden State Parkway. Within Feet of this display is Loews and Micro Center Computer Store.  And within 1 mile  leads commuters to Route 4 East towards NYC which comprises  of Major retail shopping and  access to downtown Broad-way in Paterson.,60 x 936,South,40.904,-74.135,0
951,Wild Posting,36'1 Mclean Blvd. {Rt. 20) C/L '1/4 rnlle N/O I-BO N/O 2-tst Ave,07504 / Passaic County,,51 x 930,North,40.904,-74.135,0
961,Wild Posting,361 Mclean Blvd. Rt 20,07504 / Passaic County,,51 x 930,South,40.904,-74.135,0
452B,Digital Bulletin,Route 46 @ McBride / Paterson Overpass,7424 / Passaic,"Points of Interest are Montclair State University, Garden State Parkway, Willowbrook Mall, MetLife Stadium, Prudential Center",168 x 576,East,40.889,-74.218,437466
453D,Digital Bulletin,N/S Route 46 @ McBride / Paterson Overpass,07424 / Passaic County,"Some areas of interest near this board include
Montclair State University, Garden State Parkway,
Willowbrook Mall, MetLife Stadium, Prudential Center and
Lincoln Park.",168 x 576,West,40.889,-74.218,341846
917,Bulletin,"182 River Street C/L N/O Mercer Street,",07601 / Bergen County,"This high profile overhead trestle is strategically placed in the heart of the hustle and bustle of busy downtown Hackensack, Bergen County's county seat.  This unit is facing north leading towards Route 80 and Route 46, which couples with the NJ Turnpike as well as the George Washington Bridge.",84 x 1032,North,40.883,-74.041,0
918,Bulletin,182 River Street C/L N/O Mercer Street,07601 / Bergen County,"This high profile overhead  RR Trestle, Targets Northbound traffic to Hackensack, Bergen County's County Seat, heading toward Route 4, the George Washington Bridge, the upscale shopping Riverside Square Mall and Garden State Plaza",84 x 1032,South,40.883,-74.041,0
917,Wild Posting,182 River Street C/L N/0 Mercer Street. N/F,07601 /,,84 x 1028,North,40.883,-74.041,0
918,Wild Posting,182 River Street C/L N/0 Mercer Street. S/F,07601 / Bergen County,,84 x 1028,South,40.883,-74.041,0
431D,Bulletin,123 Route 46 E/O Boyd St,07644 / Bergen,"This Board is in close proximity to the George Washington Bridge and is in an excellent location. This is a heavily traveled commuter road for traffic originating from NY, The Garden State Parkway and western suburbs of New Jersey. Near popular shopping areas and is on a direct route to Yankee Stadium.",168 x 576,West,40.879,-74.077,163461
430B,Bulletin,123 Route 46 E/O Boyd St,07644 / Bergen,"This excellent location in Lodi NJ, is close proximity to the George Washington Bridge and New York City. Route 46 is a heavily traveled commuter road for traffic originating from NY, the Garden State Parkway. Great shopping areas such as Secaucus Outlets, Willowbrook Mall and a direct route to Yankee Stadium.",168 x 576,East,40.879,-74.077,139265
Rt17,Digital Bulletin,Route 17 in Hackensack,07601 / Bergen County,"*Available 2/1/23

1/2 mile south off exit 64 of I-80 on Route 17 & visible to drivers traveling south to MetLife Stadium, Lincoln Tunnel, Teterboro Airport, Prudential Center, American Dream project & New York City",168 x 576,South,40.874,-74.063,642084
468B,Digital Bulletin,"N/S 1-80, 0.05 Mile W/O NJTP, 3 Miles W/O GW Bridge",07703 / Ulster,"Area Points of Interest
Garden State Plaza, Bergen Town Center, Hackensack UMC, Teterboro Airport, Fairleigh Dickinson University",168 x 576,East,40.867,-74.023,453846
469D,Digital Bulletin,"N/S 1-80, 0.05 Mile W/O NJTP, 3 Miles W/O GW Bridge",07703 / Ulster,"Area Points of Interest
Garden State Plaza, Bergen Town Center, Hackensack UMC, Teterboro Airport, Fairleigh Dickinson University",168 x 576,West,40.867,-74.023,177959
396-L,Digital Bulletin,396 Route Route 17,07604 / Bergen,"Located 4.8 miles away from the Garden State Plaza which is inside Paramus, one of the busiest shopping districts in the US.  It has 2.2 million square feet of retail space over two stories, with more than 300 stores. This area draws 19.3 million visitors a year. It is also a 8.9 mile drive from being inside New York City and is a major commuter road.  This is very close to the intersection of Route 17 and Route 46.",168 x 504,South,40.863,-74.065,226862
396-R,Digital Bulletin,396 Route Route 17,07604 / Bergen,"Located 4.8 miles away from the Garden State Plaza which is inside Paramus, one of the busiest shopping districts in the US.  It has 2.2 million square feet of retail space over two stories, with more than 300 stores. This area draws 19.3 million visitors a year. It is also a 8.9 mile drive from being inside New York City and is a major commuter road.  This is very close to the intersection of Route 17 and Route 46.",168 x 504,North,40.863,-74.065,297567
NY-152,Wallscape,Dyckman Street e/o Sherman Ave.,10040 / New York,"This wall is located in the Inwood section of Manhattan, a predominantly Hispanic neighborhood.
Dyckman Street is a highly trafficked commercial street with shops and restaurants
and is the main east to west route that connects the Westside Highway with the
Harlem River Drive.",252 x 246,East,40.862,-73.926,121178
NJ-011BBR,Bulletin,"Rt 46 E of Tannery Rd, W/F",07840 / Warren County,"Rt 46 E of Tannery Rd, W/F",72 x 144,West,40.858,-74.852,30460
NJ-011BBL,Bulletin,"Rt 46 E of Tannery Rd, E/F",07840 / Warren County,"Rt 46 E of Tannery Rd, E/F",72 x 144,East,40.858,-74.852,22083
SVH3,Bus Wraps,Shuttle Vans in the Hamptons,11968 / Suffolk,"Our wrapped shuttle vans become an interesting option to reach this high-end audience who visit the Hamptons each summer, because there is no outdoor in the highly Desirable Hamptons region.",960 x 2880,,40.855,-72.52,0
SVH5,Bus Wraps,Shuttle Vans in the Hamptons,11968 / Suffolk,"Our wrapped shuttle vans become an interesting option to reach this high-end audience who visit the Hamptons each summer, because there is no outdoor in the highly Desirable Hamptons region.",960 x 2880,,40.855,-72.52,0
SVH10,Bus Wraps,Shuttle Vans in the Hamptons,11968 / Suffolk,"Our wrapped shuttle vans become an interesting option to reach this high- end audience who visit the Hamptons each summer, because there is no outdoor in the highly Desirable Hamptons region. This Opportunity is available for 3 week, 5 week and a 10 week option.",960 x 2880,,40.855,-72.52,0
M4320,Wallscape,Broadway @ 184th St.,10033 / New York,"This traditional format 14 x 48 is strategically placed to capture the attention of both vehicular and pedestrian
traffic. It is located in the heart of a large business and residential area called Washigton Heights, with a large
Hispanic and specifically Dominican population . This unit is displayed to vehicles heading southbound on Broadway
and is near the entrance to the George Washington Bridge and Cross Bronx Expressway.",168 x 576,West,40.852,-73.934,235477
M4311,Wild Posting,184st @ Broadway,10033 / New York,"This dedicated panel is strategically placed to capture the
attention of both vehicular and pedestrian traffic. It is
located in the heart of a large business and residential area
called Washigton Heights, with a large Hispanic and
specifically Dominican population . This unit is displayed to
vehicles heading southbound on Broadway and is near the
entrance to the George Washington Bridge and Cross
Bronx Expressway.",96 x 480,North,40.852,-73.935,156285
NY4275,Wallscape,Broadway N/O 181St Street,/ New York,Highly visible in Washington Heights commercial district showing to both vehicular and pedestrian traffic. This neighborhood is the largest Dominican population in NYC. It is displayed to SB traffic on Broadway and leads to the entrance to the Cross Bronx Expressway and the GWB.,300 x 264,North,40.851,-73.936,203300
NY-4275,Wallscape,Broadway 5' N/O 182nd Street,10033 /,"This highly visible unit is on Broadway and 182nd street in the heart of Washington Heights
commercial district showing to both vehicular and pedestrian traffic. This neighborhood, with the
largest Dominican population in NYC, is a bustling business and residential community. This unit
leads to the entrance of the Cross Bronx Expressway, the George Washington Bridge and the
new GWB Marketplace, home to dozens of retailers and restaurants.",300 x 264,North,40.851,-73.936,114457
433C,Bulletin,"Route 17, 0.1 mile N/O Moonachie Ave",07032 /,"This inescapable bulletin is located on Route 17 near Teterboro Airport. It reads to northbound traffic heading toward Manhattan via the George Washington Bridge, Rt. 80, Rt. 46, and the affluent Bergen county area. Traffic may also be heading toward Paramus, the largest shopping area
in the state.",168 x 576,South,40.849,-74.075,222370
NY506W,Wallscape,Washington Bridge @ Amsterdam Ave,10033 / New York,This unit is located in the heart of Washington Heights and is situated directly across from the Washington Bridge. It shows to a densely populated business district at the busy intersection of 181st Street and Amsterdam Ave. This area is over 80% hispanic and is the largest Dominican neighborhood in NYC.,120 x 150,East,40.848,-73.932,164905
M76,Wallscape,Broadway @ 176th,10033 / New York,"This premier square is strategically placed to capture the attention of both vehicular and pedestrian traffic. It is
located in the heart of a large business and residential area called Washington Heights, with a large Hispanic and
specifically Dominican population . This unit is displayed to vehicles heading eastbound on 176th and Broadway and is
near the entrance to the George Washington Bridge and Cross Bronx Expressway. This unit is surrounded by
restaurant, nightlight, supermarkets, and a bustling new shopping area.",300 x 240,West,40.847,-73.938,178372
M4138a,Wild Posting,Broadway @ W 175th Street,10033 / New York County,"This iconic Washington Heights coverage is located in NYC's top Hispanic neighborhood. Broadway is the #1 vehicular and pedestrian thoroughfare in ""The Heights.""",120 x 480,North,40.846,-73.938,148351
M4138b,Wild Posting,Broadway @ W 175th Street,10033 / New York County,"This iconic Washington Heights coverage is located in NYC's top Hispanic neighborhood. Broadway is the #1 vehicular and pedestrian thoroughfare in ""The Heights.""",120 x 240,North,40.846,-73.938,187556
X1764a,Wild Posting,Webster Ave @ E 175th St.,10457 / Bronx,This wild posting sits on a stretch of constantly congested roadway reaching vehicular traffic heading to I-95 Cross Bronx Expressway.,108 x 216,North,40.845,-73.902,195626
X1764b,Wild Posting,Webster Ave @ E 175th St.,10457 / Bronx,This wild posting sits on a stretch of constantly congested roadway reaching vehicular traffic heading to I-95 Cross Bronx Expressway.,60 x 276,East,40.845,-73.902,152437
X1764C,Wallscape,Webster Ave @ 175th St.,10457 / Bronx,"This wallscape sits on a stretch of constantly congested roadway reaching vehicular traffic headed to the I-95 Cross
Bronx Expressway. Within close proximity to Tremont Park and Claremont Park. Nearby restaurant chains include
Popeyes, White Castle, Kentucky Fried Chicken and Dunkin'.",336 x 168,East,40.845,-73.902,263190
432A,Digital Bulletin,"Route 17, 0.1 mile N/O Moonachie Ave",07075 / Bergen County,"High profile digital bulletin which reads to southbound traffic traveling on Route 17 towards Route 3 in Wood Ridge, NJ near Teterboro Airport and Meadowlands Sports Complex.",168 x 576,North,40.845,-74.078,192014
M4086,Bulletin,Broadway @ 173rd,10032 / New York,"This dedicated panel is strategically placed to capture the attention of both vehicular and pedestrian traffic. It is
located in the heart of a large business and residential area called Washigton Heights, with a large Hispanic and
specifically Dominican population . This unit is displayed to vehicles heading southbound on Broadway and is near the 
entrance to the George Washington Bridge and Cross Bronx Expressway. This unit sits in a corridor on 173rd St
and Broadway at an extremely busy and heavy pedestrian traffic",96 x 480,North,40.844,-73.938,116759
X416a,Bulletin,174th St @ Webster Ave,10457 / Bronx County,,120 x 360,West,40.844,-73.903,85245
442,Digital Bulletin,Route 46 at Grand Avenue Exit,07657 / Bergen County,"This highly visible unit faces traffic heading east on Route 46 toward the George Washington Bridge. It is also immediately visible to northbound NJ Turnpike motorists exiting at Route 46. That is the last exit from the Turnpike before the I-95 merge with Route 80. Route 46 is a major alternative route to the George Washington Bridge for turnpike traffic of for those heading to Grand Ave or Broad Ave into Palisades Park, Leonia or Englewood. In addition to the NJ Turnpike, traffic could have originated from Little Ferry, Lodi, Route 17 and points west of there.",168 x 576,West,40.844,-74.007,227837
443D,Digital Bulletin,Route 46 at Grand Avenue Exit,07657 /,"This excellent bulletin is facing westbound traffic on Route 46 from the George Washington Bridge, Bergen County suburbs and Routes 1&9. Just beyond this unit is the entrance to the NJ Turnpike. Northbound traffic feeds into I-80 and southbound traffic would be en route to areas like Secaucus, Route 3 and MetLife Stadium. Traffic continuing west on Route 46 would be headed towards Little Ferry, Lodi, Route 17 and beyond.",168 x 576,East,40.844,-74.007,451840
442B,Digital Bulletin,S/S Route 46 at Grand Avenue Exit,07657 /,,168 x 576,East,40.844,-74.007,0
X1700,Wallscape,Webster Ave @ 173rd St,10457 / Bronx,"This unit is located in Webster Ave, one of the longest
thoroughfares in the Bronx. It is characterized by its local
and destination retail with restaurants, department stores,
supermarkets and home furnishing stores along its way.
The high density of employees, students and visitors in the
area represents a retail spending potential. Unique High
Impact ground level opportunity compared to other more
standard units in the area. Unit located directly in front of
the BX41 bus stop.",144 x 288,South,40.843,-73.903,88236
X1665,Wallscape,Webster Ave @ 173rd,10457 / Bronx,"This unit is located in Webster Ave, one of the longest
thoroughfares in the Bronx. It is characterized by its local
and destination retail with restaurants, department stores,
supermarkets and home furnishing stores along its way.
The high density of employees, students and visitors in the
area represents a retail spending potential. Nice LHR and
RHR and a unique High Impact opportunity compared to
other more standard units in the area. Located directly in
front of the BX41 bus stop.",192 x 312,East,40.843,-73.904,115209
X1129,Wallscape,E 177th Street @ Bronx Park Ave,10460 / Bronx County,"This wallscape sits on a stretch of roadway constantly congested reaching vehicular traffic heading to I-95 Cross Bronx Expwy, I-895 Sheridan Expwy and Bronx River Pkwy.",144 x 480,East,40.838,-73.877,270008
NJ-946,Bulletin,"NJ Turnpike E/L (452 Victoria Terr) @ MP 116.5, 1 mile S/O US 46",07657 / Bergen County,Reads to southbound traffic on NJ Turnpike traveling to the New Jersey suburbs from New York City and northern NJ as well as toward New York City via the Lincoln Tunnel and the Meadowlands Sports Complex.,168 x 576,North,40.831,-74.022,122000
NJ-947,Bulletin,"NJ Turnpike E/L (452 Victoria Terr) @ MP 116.5, 1 mile S/O US 46",07072 / Bergen County,"Reads to northbound commuter on NJ Turnpike traveling to New York City via the George Washington Bridge and 1/2 mile to merge of Interstate 80 West, leading commuters toward destinations in North Bergen County, NJ and Meadowlands Sports Complex.",168 x 576,South,40.831,-74.022,122000
946,Bulletin,"NJ Turnpike E/L (452 Victoria Terrace) @ MP 116.5, 1 mile S/O 46",07656 / Bergen,Reads to southbound traffic on the NJ Turnpike heading to NJ suburbs from NYC and Northern NJ as well as toward NYC via the Lincoln Tunnel and Meadowlands Sports Complex.  This unit is just south of the Turnpike split and I80. Its also viewed by commuters on the Eastern and Western Turnpike spurs.,168 x 576,North,40.831,-74.022,306124
947,Bulletin,"NJ Turnpike E/L (452 Victoria Terrace) @ MP 116.5, 1 mile S/O 46",07656 / Bergen,Reads to traffic heading northbound on NJ Turnpike to NYC via the George Washington Bridge.  It’s a 1/2 mile to merge of I80.,168 x 576,South,40.831,-74.022,357547
414A,Bulletin,"NJ Turnpike @ MM 116.2 N/O Exit 18W, West Spur",07657 / Bergen,"Traffic Origin
Southbound NJ Turnpike traffic, George Washington Bridge, Fort Lee, Teaneck, Hackensack, New York, all points north
Traffic Destination
MetLife Stadium, Lincoln Tunnel, I-495, Newark, Route 3, I-280, Secaucus, Hoboken, Weehawken, all points south
Area Points of Interest
MetLife Stadium, Newark Liberty Airport, Lincoln Tunnel",168 x 576,North,40.831,-74.024,374265
413C,Bulletin,"NJ Turnpike @ MM 116.2, N/O Exit 18",07657 / Bergen,"DUAL read bulletin for East and West Spurs, MetLife Stadium, Newark Liberty Airport, Lincoln Tunnel",168 x 576,South,40.831,-74.024,434111
NY.AD.BB105,Bulletin,Paterson Plank Rd .2 mi E/O Gotham Pkwy,07073 / Bergen,"This illuminated bulletin reads to westbound traffic on Paterson Bulletin
Plank Rd. As the northern border to the Meadowlands Sports Complex,
Paterson Plank Rd. is the main connector between Rt. 3 and Rt. 17, providing
direct access to Meadowlands Racetrack and primary feeder to American Dream
Meadowlands (retail/entertainment destination) and MetLife Stadium (NY
Giants/NY Jet/live concerts).",168 x 576,West,40.825,-74.076,53231
NY.AD.BB104,Bulletin,Paterson Plank Rd .2 mi E/O Gotham Pkwy,07073 / Bergen,"This illuminated bulletin reads to westbound traffic on Patterson Plank RD. As the northern border to the Meadowlands Sports Complex, Paterson Plank Rd. is the main connector between Rt. 3 and Rt. 17, providing direct access to Meadowlands Racetrack and primary feeder to American Dream Meadowlands (retail/entertainment destination) and MetLife Stadium (NY Giants/NY Jet/live concerts).",168 x 576,East,40.825,-74.076,136478
